board,angle,climb_name,date,logged_grade,displayed_grade,is_benchmark,tries,is_mirror,sessions_count,tries_total,is_repeat,is_ascent,comment
kilter,20,Subliminal Skull,2022-10-15 03:55:40,6a/V3,6a/V3,False,1,False,1,1,False,True,
kilter,40,Trunk of the Beast,2022-10-22 03:44:34,7b/V8,7b/V8,False,1,False,2,4,True,True,
kilter,40,kevin noooo,2022-11-15 23:15:04,6c+/V5,6c+/V5,False,1,False,2,2,True,True,
kilter,40,Lack of Faith,2022-11-15 23:16:14,6c/V5,6c/V5,False,1,False,4,5,True,True,
kilter,40,benchmark,2022-11-15 23:21:39,6c+/V5,6c+/V5,False,1,False,5,7,True,True,
kilter,40,P'tite V4,2022-12-11 02:07:19,6a/V3,6a/V3,False,1,False,7,10,True,True,
kilter,35,P'tite V4,2022-12-15 23:49:54,6a/V3,6a/V3,False,1,False,8,11,True,True,
kilter,35,Big moves for a little dude,2022-12-16 00:03:35,6a/V3,6a/V3,False,1,False,3,3,True,True,
kilter,35,Tension Pneumothorax,2022-12-18 03:04:26,6b/V4,6b/V4,False,1,False,2,2,True,True,
kilter,35,Tension Pneumothorax,2022-12-18 03:04:30,6b/V4,6b/V4,False,1,False,2,3,True,True,
kilter,35,ford focus,2022-12-18 03:10:25,6b/V4,6b/V4,False,1,False,6,7,True,True,
kilter,35,ford focus,2022-12-18 03:10:28,6b/V4,6b/V4,False,1,False,6,8,True,True,
kilter,35,P'tite V4,2022-12-18 03:16:49,6a/V3,6a/V3,False,1,False,9,12,True,True,
kilter,35,P'tite V4,2022-12-18 03:16:51,6a/V3,6a/V3,False,1,False,9,13,True,True,
kilter,35,Bones & Chilly,2022-12-18 03:22:36,6b+/V4,6b+/V4,False,1,False,4,4,True,True,
kilter,35,Bones & Chilly,2022-12-18 03:22:38,6b+/V4,6b+/V4,False,1,False,4,5,True,True,
kilter,35,it’s a trick question,2022-12-18 03:28:22,,,False,1,False,3,5,True,False,
kilter,35,it’s a trick question,2022-12-18 03:28:25,,,False,1,False,3,6,True,False,
kilter,35,Oodles of Boodles,2023-01-02 23:25:10,6b/V4,6b/V4,False,1,False,3,3,True,True,
kilter,35,???,2023-01-02 23:26:50,6a/V3,6a/V3,False,1,False,1,1,False,True,
kilter,35,Steep Thrills,2023-01-02 23:30:27,6a+/V3,6a+/V3,False,1,False,1,1,False,True,
kilter,35,long moves no more,2023-01-03 00:02:53,6b/V4,6b/V4,False,1,False,1,1,False,True,
kilter,40,wizard of odd,2023-01-04 23:32:12,6a/V3,6a/V3,False,1,False,2,2,True,True,
kilter,40,Trust Your Shoes,2023-01-04 23:34:25,6a+/V3,6a+/V3,False,1,False,1,1,False,True,
kilter,40,Scared em Off,2023-01-08 01:33:54,4c/V0,4c/V0,False,1,False,2,2,True,True,
kilter,40,Platypus,2023-01-08 01:35:22,6a/V3,6a/V3,False,1,False,1,1,False,True,
kilter,40,Vice City,2023-01-08 02:40:32,6c/V5,6c/V5,False,1,False,1,1,False,True,
kilter,30,Trunk of the Beast,2023-01-25 23:51:41,7a/V6,7a/V6,False,1,False,3,5,True,True,
